id,address,latLocation,lonLocation,pharmacyName
40,Rua João de Freitas Branco 15A,38.751126283033763,-9.180483380020572,Farmácia Alto dos Moinhos
89,Estrada de Benfica 373B,38.744692283727673,-9.180023063506033,Farmácia Vitex
121,Rua Fernando Namora 44C,38.760253075349283,-9.178951500034531,Farmácia Geny
240,Estrada da Luz 199A,38.756653722102271,-9.177957610292388,Farmácia J Ribeiro
202,Azinhaga da Torre do Fato 29,38.763468270534723,-9.177555435438022,Farmácia Lisboa
96,Rua José Dias Coelho 2,38.705083479275309,-9.177179607272594,Farmácia do Calvário
169,Rua de Alcântara 15A,38.706344526723186,-9.174885047728882,Farmácia Probidade
69,Rua Prof. Simões Raposo 1C  Loja A,38.761136473044637,-9.174683614001166,Farmácia Nova Telheiras
249,Rua de Alcântara 5A,38.706422947307601,-9.174622780090127,Farmácia Nogueira
66,Estrada da Luz 128A R/C,38.753585811277425,-9.174284823998764,Farmácia da Luz
142,Estrada de Benfica 180A,38.743107502263967,-9.173915402617968,Farmácia Alegria
172,Rua Fernando Lopes Graça 23C,38.769014309522227,-9.171589434378673,Farmácia Rualto Lda.
72,Rua Manuel da Silva Leal 11B,38.749514296975114,-9.170885407622487,Farmácia Bruxellas
14,Rua Professor Francisco Gentil 36A,38.760607323385507,-9.170120336749541,Farmácia Quejas ou Progresso Telheiras
97,Estrada das Laranjeiras 202B,38.745320971269756,-9.169128162789589,Farmácia Sete Rios
238,Rua do Olival 290,38.705032331937758,-9.167788188999378,Farmácia Infante Santo
106,Rua de Infantaria 16 98B,38.718398468835254,-9.167760065442783,Farmácia Lobel
81,Rua Frederico George 31C,38.76946514568607,-9.167205198549681,Farmácia Planalto
9,Rua Francisco Metrass 59B,38.717176497049358,-9.166547978511391,Farmácia Porfírio
128,Rua Tomás da Fonseca 44A,38.755292046562751,-9.166337301119379,Farmácia Várzea
228,Avenida Infante Santo 66B,38.709515927517245,-9.165635917206787,Farmácia Andrade Ribeiro
185,Rua de Campolide 297C,38.735057079239581,-9.165517954935266,Farmácia Nova
5,Calçada dos Mestres 30A,38.726986926468399,-9.165424607400816,Farmácia Pátria
166,Rua Professor Eduardo Araújo Coelho 5A,38.76119997858536,-9.164969915238306,Farmácia Central de Telheiras
175,Rua do Quatro de Infantaria 28A,38.71806651642175,-9.164709664317336,Farmácia Castro Fonseca
7,Rua de Campo de Ourique 131,38.721003500172898,-9.164659972210762,Farmácia Pinheiro
70,Rua de Sant'Ana (Santana) à Lapa 133,38.711764767530866,-9.164527927948845,Farmácia Alb
131,Rua Saraiva de Carvalho 145F,38.715303908249545,-9.164393948715812,Farmácia União
196,Calçada de Carriche - Lote 4  - Lj Esq,38.781289267560631,-9.163998860670681,Farmácia Nicolau
205,Rua de Santo António à Estrela 96,38.713377397455609,-9.163505593053245,Farmácia Marques Freire
108,Estrada do Desvio 12C,38.779288535649556,-9.163259661277907,Farmácia SãoTomé
178,Rua General Taborda 17,38.728531802314457,-9.162870982712334,Farmácia Central de Campolide
8,Rua de Campolide 11A,38.725812706116258,-9.162728394025619,Farmácia Pinto
98,Avenida Madame Curie 15A,38.739048134516729,-9.162389674366258,Farmácia Curie
250,Rua de Campolide 54A,38.727879488801044,-9.162275131981023,Farmácia Oliveira
34,Rua Silva Carvalho 136,38.72014201706402,-9.161246438809833,Farmácia Almeida
41,Alameda das Linhas de Torres 262A,38.773512319222732,-9.161209697714714,Farmácia Patuleia
99,Avenida Rainha Dona Amélia 34B,38.76691170101082,-9.161076232317987,Farmácia Matos Viegas
179,Alameda das Linhas de Torres 254B,38.772902963319737,-9.160794716477627,Farmácia Central do Lumiar
60,Rua Silva Carvalho 232C,38.722665265746407,-9.160242758329392,Farmácia Ivone
26,Alameda António Sérgio 8C,38.780801693831961,-9.160044611537291,Farmácia Santos
139,Alameda das Linhas de Torres 201B,38.770151957086931,-9.159939433190566,Farmácia Alameda
171,Rua da Lapa 54,38.710463024849808,-9.159702631891761,Farmácia da Lapa
83,Rua Rodrigo da Fonseca 155,38.729036917949955,-9.158802324144347,Farmácia Ronil
224,Calçada da Estrela 130,38.7132100510036,-9.158718748483588,Farmácia Gama
212,Rua da Beneficência 235C,38.744702193497652,-9.158617769760793,Farmácia Gomes da Silva
